Track,Track Version,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
dh,2024all,dha-unesco,matcha_new.tar.gz,ALL,0.45454545454545453,1.0,1.0,0.625,10,12,0,22,138560783407,00:02:18
dh,2024all,dha-unesco,matcha_new.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,dha-unesco,matcha_new.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,dha-unesco,matcha_new.tar.gz,INSTANCES,0.45454545454545453,1.0,1.0,0.625,10,12,0,22,-,-
dh,2024all,defc-pactols,matcha_new.tar.gz,ALL,1.0,0.9,0.9,0.9473684210526316,9,0,1,9,13234076622,00:00:13
dh,2024all,defc-pactols,matcha_new.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,defc-pactols,matcha_new.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,defc-pactols,matcha_new.tar.gz,INSTANCES,1.0,0.9,0.9,0.9473684210526316,9,0,1,9,-,-
dh,2024all,oeai-parthenos,matcha_new.tar.gz,ALL,0.8974358974358975,0.7446808510638298,0.7446808510638298,0.813953488372093,35,4,12,39,683601362,00:00:00
dh,2024all,oeai-parthenos,matcha_new.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,oeai-parthenos,matcha_new.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,oeai-parthenos,matcha_new.tar.gz,INSTANCES,0.8974358974358975,0.7446808510638298,0.7446808510638298,0.813953488372093,35,4,12,39,-,-
dh,2024all,tadirah-unesco,matcha_new.tar.gz,ALL,0.358974358974359,0.9333333333333333,0.9333333333333333,0.5185185185185185,14,25,1,39,140391653146,00:02:20
dh,2024all,tadirah-unesco,matcha_new.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,tadirah-unesco,matcha_new.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,tadirah-unesco,matcha_new.tar.gz,INSTANCES,0.358974358974359,0.9333333333333333,0.9333333333333333,0.5185185185185185,14,25,1,39,-,-
dh,2024all,idai-parthenos,matcha_new.tar.gz,ALL,0.8,0.23076923076923078,0.23076923076923078,0.3582089552238806,12,3,40,15,24036896247,00:00:24
dh,2024all,idai-parthenos,matcha_new.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,idai-parthenos,matcha_new.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,idai-parthenos,matcha_new.tar.gz,INSTANCES,0.8,0.23076923076923078,0.23076923076923078,0.3582089552238806,12,3,40,15,-,-
dh,2024all,idai-pactols,matcha_new.tar.gz,ALL,0.3076923076923077,0.23529411764705882,0.23529411764705882,0.26666666666666666,4,9,13,13,4184257175,00:00:04
dh,2024all,idai-pactols,matcha_new.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,idai-pactols,matcha_new.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,idai-pactols,matcha_new.tar.gz,INSTANCES,0.3076923076923077,0.23529411764705882,0.23529411764705882,0.26666666666666666,4,9,13,13,-,-
dh,2024all,pactols-parthenos,matcha_new.tar.gz,ALL,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,2,2,12,510039368,00:00:00
dh,2024all,pactols-parthenos,matcha_new.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,pactols-parthenos,matcha_new.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,pactols-parthenos,matcha_new.tar.gz,INSTANCES,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,10,2,2,12,-,-
dh,2024all,ironagedanube-pactols,matcha_new.tar.gz,ALL,0.6666666666666666,0.8,0.8,0.7272727272727272,4,2,1,6,3936091740,00:00:03
dh,2024all,ironagedanube-pactols,matcha_new.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,ironagedanube-pactols,matcha_new.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,ironagedanube-pactols,matcha_new.tar.gz,INSTANCES,0.6666666666666666,0.8,0.8,0.7272727272727272,4,2,1,6,-,-
